Word,Freq_CSAT,LogE_Freq_CSAT,Log10_Freq_CSAT,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,Ortho_N,OLD,OLDF
particularly,9,2.1972245773362196,1.0,12,40140,10.6,18.55,2.976,0,4.3,5.944
follow,9,2.1972245773362196,1.0,6,58490,10.977,123.2,3.798,3,1.8,7.017
united,9,2.1972245773362196,1.0,6,82140,11.316,50.27,3.409,0,1.95,6.119
finding,9,2.1972245773362196,1.0,7,32574,10.391,37.94,3.287,3,1.8,7.297
fine,9,2.1972245773362196,1.0,4,111801,11.624,598.08,4.484,16,1.0,8.912
relationship,9,2.1972245773362196,1.0,12,33496,10.419,67.69,3.538,0,4.5,6.845
highly,9,2.1972245773362196,1.0,6,40740,10.615,21.2,3.034,0,2.35,7.472
imagine,9,2.1972245773362196,1.0,7,34419,10.446,81.04,3.616,1,2.5,7.621
saw,9,2.1972245773362196,1.0,3,87044,11.374,402.49,4.312,15,1.1,8.652
service,9,2.1972245773362196,1.0,7,171115,12.05,79.92,3.61,1,2.6,7.125
guess,9,2.1972245773362196,1.0,5,98363,11.496,453.98,4.365,1,1.9,7.486
lack,9,2.1972245773362196,1.0,4,41016,10.622,17.75,2.957,16,1.0,8.396
term,9,2.1972245773362196,1.0,4,58014,10.968,17.45,2.95,4,1.75,8.509
shop,9,2.1972245773362196,1.0,4,27995,10.24,53.55,3.437,9,1.4,8.193
required,9,2.1972245773362196,1.0,8,88963,11.396,10.73,2.739,1,2.5,7.111
artist,9,2.1972245773362196,1.0,6,17005,9.741,28.63,3.165,0,2.1,7.234
consumption,9,2.1972245773362196,1.0,11,7032,8.858,1.84,1.978,0,3.1,6.417
suggest,9,2.1972245773362196,1.0,7,50721,10.834,39.24,3.301,0,2.75,6.867
memories,9,2.1972245773362196,1.0,8,8760,9.078,22.2,3.054,0,2.7,6.786
object,9,2.1972245773362196,1.0,6,52354,10.866,25.76,3.119,1,2.45,7.532
mountain,9,2.1972245773362196,1.0,8,34727,10.455,35.39,3.257,1,2.55,7.392
observed,9,2.1972245773362196,1.0,8,10357,9.245,3.88,2.299,2,2.45,7.413
product,9,2.1972245773362196,1.0,7,102292,11.536,14.75,2.877,1,2.45,7.422
working,9,2.1972245773362196,1.0,7,134669,11.811,250.49,4.106,1,1.9,7.448
send,9,2.1972245773362196,1.0,4,324164,12.689,179.78,3.962,10,1.3,8.799
band,9,2.1972245773362196,1.0,4,49179,10.803,53.41,3.435,14,1.0,9.498
cooperation,9,2.1972245773362196,1.0,11,9873,9.198,7.98,2.611,0,2.8,7.455
increased,9,2.1972245773362196,1.0,9,21849,9.992,4.08,2.32,1,2.65,6.903
days,9,2.1972245773362196,1.0,4,158630,11.974,305.73,4.193,8,1.55,8.263
research,8,2.0794415416798357,0.9542425094393249,8,126031,11.744,33.1,3.228,0,3.05,6.764
spent,8,2.0794415416798357,0.9542425094393249,5,33152,10.409,70.08,3.553,2,1.85,8.003
outside,8,2.0794415416798357,0.9542425094393249,7,68404,11.133,170.02,3.938,2,2.2,5.92
combined,8,2.0794415416798357,0.9542425094393249,8,14078,9.552,4.14,2.326,1,2.55,7.044
methods,8,2.0794415416798357,0.9542425094393249,7,33831,10.429,6.47,2.52,0,2.7,6.691
places,8,2.0794415416798357,0.9542425094393249,6,47580,10.77,53.06,3.433,3,1.65,7.674
respect,8,2.0794415416798357,0.9542425094393249,7,37713,10.538,71.45,3.562,0,2.25,7.398
associated,8,2.0794415416798357,0.9542425094393249,10,24568,10.109,3.92,2.303,1,3.2,6.661
message,8,2.0794415416798357,0.9542425094393249,7,247136,12.418,91.51,3.669,1,2.7,6.923
oil,8,2.0794415416798357,0.9542425094393249,3,34785,10.457,41.08,3.321,3,1.5,8.641
told,8,2.0794415416798357,0.9542425094393249,4,104947,11.561,699.59,4.552,10,1.45,8.479
remains,8,2.0794415416798357,0.9542425094393249,7,17899,9.793,17.45,2.95,2,1.85,7.27
national,8,2.0794415416798357,0.9542425094393249,8,114548,11.649,38.16,3.289,1,2.45,7.284
ago,8,2.0794415416798357,0.9542425094393249,3,116095,11.662,286.12,4.164,3,1.8,8.906
slowly,8,2.0794415416798357,0.9542425094393249,6,24077,10.089,25.08,3.107,0,2.4,6.661
born,8,2.0794415416798357,0.9542425094393249,4,35181,10.468,83.69,3.63,11,1.35,8.342
explore,8,2.0794415416798357,0.9542425094393249,7,10339,9.244,6.22,2.502,1,2.15,7.384
parts,8,2.0794415416798357,0.9542425094393249,5,66285,11.102,29.43,3.177,8,1.45,7.795
outcome,8,2.0794415416798357,0.9542425094393249,7,6893,8.838,3.94,2.305,0,2.85,5.823
happens,8,2.0794415416798357,0.9542425094393249,7,47804,10.775,137.18,3.845,0,2.6,6.455
began,8,2.0794415416798357,0.9542425094393249,5,40481,10.609,32.51,3.22,3,1.8,8.037
teach,8,2.0794415416798357,0.9542425094393249,5,22492,10.021,72.84,3.57,4,1.7,7.908
cold,8,2.0794415416798357,0.9542425094393249,4,34854,10.459,130.16,3.822,12,1.15,8.331
search,8,2.0794415416798357,0.9542425094393249,6,78523,11.271,48.37,3.392,1,1.95,7.278
consider,8,2.0794415416798357,0.9542425094393249,8,78623,11.272,52.47,3.428,0,2.45,6.587
greatest,8,2.0794415416798357,0.9542425094393249,8,20710,9.938,48.31,3.392,0,2.6,7.095
step,8,2.0794415416798357,0.9542425094393249,4,43956,10.691,118.67,3.782,4,1.7,8.441
meeting,8,2.0794415416798357,0.9542425094393249,7,37663,10.536,132.39,3.829,1,1.9,6.858
achieved,8,2.0794415416798357,0.9542425094393249,8,8305,9.025,4.29,2.342,1,2.75,6.118
probably,8,2.0794415416798357,0.9542425094393249,8,205006,12.231,280.84,4.156,1,2.9,6.41
scientific,8,2.0794415416798357,0.9542425094393249,10,32559,10.391,11.37,2.764,0,4.35,6.974
subjects,8,2.0794415416798357,0.9542425094393249,8,14202,9.561,6.96,2.551,0,2.85,6.886
healthy,8,2.0794415416798357,0.9542425094393249,7,13347,9.499,24.75,3.101,1,2.35,7.221
advantage,8,2.0794415416798357,0.9542425094393249,9,33506,10.419,22.06,3.051,0,3.5,7.547
truly,8,2.0794415416798357,0.9542425094393249,5,30729,10.333,35.88,3.263,0,2.0,7.317
king,8,2.0794415416798357,0.9542425094393249,4,52583,10.87,129.25,3.819,8,1.5,8.433
went,8,2.0794415416798357,0.9542425094393249,4,115581,11.658,411.51,4.322,15,1.2,8.599
bike,8,2.0794415416798357,0.9542425094393249,4,22527,10.022,25.88,3.121,9,1.5,8.419
due,8,2.0794415416798357,0.9542425094393249,3,100775,11.521,44.61,3.357,12,1.1,8.563
cities,8,2.0794415416798357,0.9542425094393249,6,17909,9.793,8.78,2.652,0,1.95,7.477
spending,8,2.0794415416798357,0.9542425094393249,8,21249,9.964,24.78,3.102,1,1.85,7.592
paper,8,2.0794415416798357,0.9542425094393249,5,64005,11.067,103.35,3.722,4,1.6,7.332
welcome,8,2.0794415416798357,0.9542425094393249,7,55024,10.916,179.22,3.961,0,2.7,7.986
basic,8,2.0794415416798357,0.9542425094393249,5,73227,11.201,15.57,2.9,3,1.8,8.157
happiness,8,2.0794415416798357,0.9542425094393249,9,8685,9.069,24.49,3.097,0,2.9,5.628
beautiful,8,2.0794415416798357,0.9542425094393249,9,31342,10.353,279.73,4.154,0,3.55,6.012
rules,8,2.0794415416798357,0.9542425094393249,5,80232,11.293,67.41,3.536,5,1.65,7.178
everyday,8,2.0794415416798357,0.9542425094393249,8,7270,8.892,10.88,2.745,0,3.65,6.468
unit,8,2.0794415416798357,0.9542425094393249,4,42634,10.66,36.18,3.266,1,1.75,8.145
list,8,2.0794415416798357,0.9542425094393249,4,317096,12.667,80.59,3.614,12,1.3,8.709
grow,8,2.0794415416798357,0.9542425094393249,4,24803,10.119,59.49,3.482,5,1.55,8.435
serious,8,2.0794415416798357,0.9542425094393249,7,55817,10.93,148.35,3.879,0,2.3,7.093
responsibility,8,2.0794415416798357,0.9542425094393249,14,27800,10.233,35.41,3.257,0,4.5,5.619
mass,8,2.0794415416798357,0.9542425094393249,4,33835,10.429,17.25,2.945,15,1.05,8.11
impossible,8,2.0794415416798357,0.9542425094393249,10,27164,10.21,59.12,3.479,1,3.55,6.17
heat,8,2.0794415416798357,0.9542425094393249,4,28372,10.253,40.08,3.311,11,1.2,8.79
movie,8,2.0794415416798357,0.9542425094393249,5,61248,11.023,122.96,3.797,0,1.9,8.447
challenges,8,2.0794415416798357,0.9542425094393249,10,5258,8.568,2.14,2.041,2,3.3,6.929
movement,8,2.0794415416798357,0.9542425094393249,8,30554,10.327,14.84,2.88,0,2.75,6.94
communication,8,2.0794415416798357,0.9542425094393249,13,44283,10.698,10.35,2.724,0,2.95,6.194
machine,8,2.0794415416798357,0.9542425094393249,7,121109,11.704,70.25,3.554,0,2.35,7.04
worked,8,2.0794415416798357,0.9542425094393249,6,59752,10.998,115.24,3.769,4,1.8,7.439
journey,8,2.0794415416798357,0.9542425094393249,7,6722,8.813,19.94,3.008,1,2.55,7.165
trash,8,2.0794415416798357,0.9542425094393249,5,9768,9.187,22.47,3.06,3,1.7,7.535
compared,8,2.0794415416798357,0.9542425094393249,8,27910,10.237,10.53,2.731,1,2.45,7.292
terms,8,2.0794415416798357,0.9542425094393249,5,49922,10.818,22.31,3.057,3,1.8,7.705
bird,8,2.0794415416798357,0.9542425094393249,4,19070,9.856,45.45,3.365,3,1.75,8.476
identity,8,2.0794415416798357,0.9542425094393249,8,12593,9.441,12.98,2.821,1,2.8,6.89
existence,8,2.0794415416798357,0.9542425094393249,9,21162,9.96,11.69,2.776,0,3.3,6.953
allowed,8,2.0794415416798357,0.9542425094393249,7,44517,10.704,44.82,3.359,1,1.85,6.347
necessarily,8,2.0794415416798357,0.9542425094393249,11,31947,10.372,11.27,2.76,0,4.3,6.644
decision,8,2.0794415416798357,0.9542425094393249,8,36601,10.508,55.06,3.449,1,2.4,7.278
quiet,8,2.0794415416798357,0.9542425094393249,5,13086,9.479,117.22,3.777,2,1.85,7.48
seat,8,2.0794415416798357,0.9542425094393249,4,17184,9.752,78.78,3.604,19,1.0,8.396
weekend,8,2.0794415416798357,0.9542425094393249,7,24127,10.091,61.14,3.494,0,2.6,6.597
build,8,2.0794415416798357,0.9542425094393249,5,47708,10.773,48.08,3.39,2,1.85,7.974
white,8,2.0794415416798357,0.9542425094393249,5,149742,11.917,171.45,3.942,3,1.75,8.123
onto,8,2.0794415416798357,0.9542425094393249,4,37373,10.529,36.69,3.272,3,1.85,8.921
forces,8,2.0794415416798357,0.9542425094393249,6,32985,10.404,20.86,3.027,3,1.75,7.402
image,8,2.0794415416798357,0.9542425094393249,5,63630,11.061,22.63,3.063,0,1.95,8.376
considered,8,2.0794415416798357,0.9542425094393249,10,59118,10.987,23.18,3.073,0,3.25,6.704
addition,8,2.0794415416798357,0.9542425094393249,8,46938,10.757,7.75,2.598,1,2.35,7.706
preserved,8,2.0794415416798357,0.9542425094393249,9,3097,8.038,1.9,1.991,2,2.3,7.629
register,8,2.0794415416798357,0.9542425094393249,8,20789,9.942,11.0,2.75,0,2.65,6.857
minutes,8,2.0794415416798357,0.9542425094393249,7,63627,11.061,273.02,4.144,0,2.55,6.809
kids,8,2.0794415416798357,0.9542425094393249,4,49811,10.816,301.1,4.186,5,1.6,8.188
inside,8,2.0794415416798357,0.9542425094393249,6,63772,11.063,211.27,4.032,1,1.85,6.993
test,8,2.0794415416798357,0.9542425094393249,4,124267,11.73,84.08,3.632,13,1.25,8.572
lake,8,2.0794415416798357,0.9542425094393249,4,21614,9.981,36.0,3.264,16,1.05,8.151
fast,8,2.0794415416798357,0.9542425094393249,4,77003,11.252,137.45,3.846,11,1.3,8.565
classical,8,2.0794415416798357,0.9542425094393249,9,12132,9.404,4.39,2.352,0,3.4,6.769
buildings,8,2.0794415416798357,0.9542425094393249,9,6984,8.851,9.98,2.708,0,2.9,6.553
gain,8,2.0794415416798357,0.9542425094393249,4,23905,10.082,13.73,2.846,9,1.35,8.299
sleep,8,2.0794415416798357,0.9542425094393249,5,25606,10.151,227.94,4.065,6,1.5,7.672
weight,8,2.0794415416798357,0.9542425094393249,6,33958,10.433,36.27,3.267,3,1.65,8.488
studies,8,2.0794415416798357,0.9542425094393249,7,33789,10.428,9.35,2.679,2,2.55,6.967
organization,8,2.0794415416798357,0.9542425094393249,12,47161,10.761,13.1,2.825,0,3.3,6.184
heard,8,2.0794415416798357,0.9542425094393249,5,133757,11.804,387.75,4.296,4,1.6,8.36
bye,8,2.0794415416798357,0.9542425094393249,3,8945,9.099,180.08,3.963,6,1.55,8.891
perform,8,2.0794415416798357,0.9542425094393249,7,24590,10.11,16.1,2.915,0,2.65,7.676
damage,8,2.0794415416798357,0.9542425094393249,6,42588,10.659,33.06,3.227,0,2.15,7.437
regular,8,2.0794415416798357,0.9542425094393249,7,47458,10.768,33.86,3.237,0,2.5,6.839
added,8,2.0794415416798357,0.9542425094393249,5,62085,11.036,9.65,2.693,2,1.8,6.826
consumers,8,2.0794415416798357,0.9542425094393249,9,6924,8.843,0.88,1.663,0,2.65,6.96
lowest,8,2.0794415416798357,0.9542425094393249,6,9385,9.147,4.41,2.354,0,1.95,7.792
usually,8,2.0794415416798357,0.9542425094393249,7,106388,11.575,63.02,3.507,0,2.6,7.123
population,8,2.0794415416798357,0.9542425094393249,10,33381,10.416,9.1,2.667,1,2.7,6.503
appears,8,2.0794415416798357,0.9542425094393249,7,41932,10.644,21.06,3.031,1,2.5,7.134
century,8,2.0794415416798357,0.9542425094393249,7,31984,10.373,20.84,3.027,0,2.55,7.317
manager,8,2.0794415416798357,0.9542425094393249,7,59800,10.999,39.96,3.309,2,2.1,6.862
wrote,8,2.0794415416798357,0.9542425094393249,5,1028146,13.843,71.16,3.56,1,1.9,7.889
continued,8,2.0794415416798357,0.9542425094393249,9,24928,10.124,7.25,2.569,1,2.45,7.583
garden,8,2.0794415416798357,0.9542425094393249,6,11220,9.325,26.55,3.132,2,1.85,6.693
tickets,8,2.0794415416798357,0.9542425094393249,7,15851,9.671,43.35,3.345,3,1.75,6.434
purpose,8,2.0794415416798357,0.9542425094393249,7,47091,10.76,35.08,3.253,0,2.35,7.155
messages,8,2.0794415416798357,0.9542425094393249,8,64553,11.075,18.59,2.977,0,2.75,6.803
stand,8,2.0794415416798357,0.9542425094393249,5,48716,10.794,226.2,4.062,2,1.7,8.138
consumer,8,2.0794415416798357,0.9542425094393249,8,14613,9.59,2.08,2.029,2,2.4,6.589
minute,8,2.0794415416798357,0.9542425094393249,6,29713,10.299,377.49,4.285,0,2.0,7.197
lesson,8,2.0794415416798357,0.9542425094393249,6,8054,8.994,32.24,3.216,2,2.0,7.742
additional,8,2.0794415416798357,0.9542425094393249,10,56018,10.933,5.88,2.479,0,3.4,7.509
camera,8,2.0794415416798357,0.9542425094393249,6,18427,9.822,57.0,3.464,0,2.1,7.203
stick,7,1.9459101490553132,0.9030899869919435,5,28279,10.25,97.12,3.695,6,1.5,7.724
arrive,7,1.9459101490553132,0.9030899869919435,6,9548,9.164,18.69,2.979,0,2.4,7.373
sit,7,1.9459101490553132,0.9030899869919435,3,25658,10.153,311.35,4.201,16,1.0,9.357
promise,7,1.9459101490553132,0.9030899869919435,7,14380,9.574,153.12,3.893,1,2.1,7.249
context,7,1.9459101490553132,0.9030899869919435,7,24912,10.123,3.2,2.215,2,1.9,7.613
loss,7,1.9459101490553132,0.9030899869919435,4,30002,10.309,29.12,3.172,13,1.2,8.05
main,7,1.9459101490553132,0.9030899869919435,4,74094,11.213,42.73,3.338,10,1.35,8.748
valuable,7,1.9459101490553132,0.9030899869919435,8,15458,9.646,15.59,2.901,0,2.7,5.915
ensure,7,1.9459101490553132,0.9030899869919435,6,17712,9.782,4.96,2.405,3,1.7,6.761
management,7,1.9459101490553132,0.9030899869919435,10,72764,11.195,11.65,2.775,0,3.7,7.089
arms,7,1.9459101490553132,0.9030899869919435,4,32708,10.395,59.8,3.484,6,1.55,7.969
flight,7,1.9459101490553132,0.9030899869919435,6,30145,10.314,59.69,3.484,5,1.55,8.414
bought,7,1.9459101490553132,0.9030899869919435,6,57147,10.953,85.53,3.64,4,1.65,7.459
per,7,1.9459101490553132,0.9030899869919435,3,119422,11.69,22.37,3.058,9,1.2,8.781
placed,7,1.9459101490553132,0.9030899869919435,6,27615,10.226,12.22,2.795,5,1.6,6.971
report,7,1.9459101490553132,0.9030899869919435,6,90838,11.417,108.0,3.741,3,1.75,7.764
encouraged,7,1.9459101490553132,0.9030899869919435,10,12437,9.428,3.29,2.228,1,3.4,6.407
ground,7,1.9459101490553132,0.9030899869919435,6,48767,10.795,72.47,3.568,1,1.8,7.684
wine,7,1.9459101490553132,0.9030899869919435,4,13077,9.479,60.35,3.488,19,1.0,8.623
customers,7,1.9459101490553132,0.9030899869919435,9,30470,10.324,19.06,2.988,0,3.2,6.122
cross,7,1.9459101490553132,0.9030899869919435,5,29753,10.301,55.04,3.448,4,1.7,7.425
above,7,1.9459101490553132,0.9030899869919435,5,177919,12.089,48.88,3.397,1,1.95,7.669
yeah,7,1.9459101490553132,0.9030899869919435,4,50018,10.82,2985.53,5.183,1,1.9,8.779
traditional,7,1.9459101490553132,0.9030899869919435,11,23093,10.047,8.14,2.619,0,3.2,6.912
figure,7,1.9459101490553132,0.9030899869919435,6,56510,10.942,129.37,3.82,0,2.3,7.215
subject,7,1.9459101490553132,0.9030899869919435,7,135945,11.82,36.96,3.276,0,2.6,7.608
smaller,7,1.9459101490553132,0.9030899869919435,7,28021,10.241,13.33,2.833,0,2.05,6.747
cars,7,1.9459101490553132,0.9030899869919435,4,31247,10.35,45.63,3.367,16,1.0,8.863
requires,7,1.9459101490553132,0.9030899869919435,8,46800,10.754,9.59,2.69,1,2.55,7.188
relative,7,1.9459101490553132,0.9030899869919435,8,18302,9.815,7.78,2.6,0,2.35,6.598
feels,7,1.9459101490553132,0.9030899869919435,5,16639,9.72,69.98,3.553,5,1.65,7.621
glad,7,1.9459101490553132,0.9030899869919435,4,25586,10.15,171.37,3.942,3,1.7,7.94
evolution,7,1.9459101490553132,0.9030899869919435,9,16349,9.702,5.33,2.436,0,2.4,6.563
anyone,7,1.9459101490553132,0.9030899869919435,6,398422,12.895,255.25,4.115,0,2.3,7.597
creating,7,1.9459101490553132,0.9030899869919435,8,25598,10.15,7.76,2.599,3,1.85,7.429
regards,7,1.9459101490553132,0.9030899869919435,7,29212,10.282,5.06,2.413,1,2.4,7.38
instance,7,1.9459101490553132,0.9030899869919435,8,26887,10.199,16.78,2.933,1,2.4,6.947
challenge,7,1.9459101490553132,0.9030899869919435,9,20677,9.937,19.86,3.006,0,3.15,6.94
head,7,1.9459101490553132,0.9030899869919435,4,109089,11.6,371.51,4.278,13,1.15,8.737
mark,7,1.9459101490553132,0.9030899869919435,4,103559,11.548,82.02,3.622,13,1.2,8.581
apply,7,1.9459101490553132,0.9030899869919435,5,45131,10.717,12.51,2.805,3,1.95,7.204
name,7,1.9459101490553132,0.9030899869919435,4,297695,12.604,641.86,4.515,8,1.45,8.6
ticket,7,1.9459101490553132,0.9030899869919435,6,14121,9.555,45.57,3.366,4,1.7,6.951
club,7,1.9459101490553132,0.9030899869919435,4,63264,11.055,98.78,3.702,1,1.85,7.274
useful,7,1.9459101490553132,0.9030899869919435,6,55233,10.919,13.12,2.826,0,2.7,6.483
education,7,1.9459101490553132,0.9030899869919435,9,58802,10.982,19.53,2.999,0,2.15,6.951
programs,7,1.9459101490553132,0.9030899869919435,8,109080,11.6,5.57,2.455,0,3.1,6.822
party,7,1.9459101490553132,0.9030899869919435,5,68745,11.138,233.14,4.075,6,1.5,7.517
novel,7,1.9459101490553132,0.9030899869919435,5,12250,9.413,10.06,2.711,2,1.8,7.766
circumstances,7,1.9459101490553132,0.9030899869919435,13,14980,9.614,22.94,3.069,0,5.15,6.275
factors,7,1.9459101490553132,0.9030899869919435,7,15769,9.666,2.16,2.045,1,1.95,6.878
nearly,7,1.9459101490553132,0.9030899869919435,6,33528,10.42,33.75,3.236,5,1.7,7.487
according,7,1.9459101490553132,0.9030899869919435,9,64745,11.078,41.86,3.33,0,2.7,7.025
residents,7,1.9459101490553132,0.9030899869919435,9,8432,9.04,5.2,2.425,0,2.5,7.171
smile,7,1.9459101490553132,0.9030899869919435,5,12276,9.415,58.0,3.471,1,1.75,7.829
quite,7,1.9459101490553132,0.9030899869919435,5,155011,11.951,202.59,4.014,3,1.8,7.944
familiar,7,1.9459101490553132,0.9030899869919435,8,26893,10.2,34.51,3.246,1,3.15,6.846
memory,7,1.9459101490553132,0.9030899869919435,6,114930,11.652,48.57,3.394,0,2.55,7.43
replied,7,1.9459101490553132,0.9030899869919435,7,13533,9.513,1.16,1.778,1,1.95,6.851
produce,7,1.9459101490553132,0.9030899869919435,7,34576,10.451,11.06,2.752,1,2.3,7.558
trouble,7,1.9459101490553132,0.9030899869919435,7,49725,10.814,223.55,4.057,0,2.5,6.509
closer,7,1.9459101490553132,0.9030899869919435,6,18665,9.834,45.67,3.367,4,1.7,7.714
fresh,7,1.9459101490553132,0.9030899869919435,5,15597,9.655,54.51,3.444,1,1.95,7.83
international,7,1.9459101490553132,0.9030899869919435,13,105052,11.562,14.22,2.861,0,3.6,6.493
favorite,7,1.9459101490553132,0.9030899869919435,8,37480,10.532,59.45,3.482,0,2.95,6.477
whatever,7,1.9459101490553132,0.9030899869919435,8,81172,11.304,246.75,4.1,0,2.75,7.41
explain,7,1.9459101490553132,0.9030899869919435,7,43650,10.684,111.18,3.754,0,2.7,7.029
afraid,7,1.9459101490553132,0.9030899869919435,6,23303,10.056,247.67,4.101,0,2.6,7.369
artists,7,1.9459101490553132,0.9030899869919435,7,16884,9.734,8.08,2.616,1,2.35,6.99
commercial,7,1.9459101490553132,0.9030899869919435,10,62464,11.042,16.25,2.919,0,3.55,6.057
willing,7,1.9459101490553132,0.9030899869919435,7,55709,10.928,49.25,3.4,6,1.7,7.115
schools,7,1.9459101490553132,0.9030899869919435,7,30008,10.309,14.0,2.854,0,2.75,7.013
private,7,1.9459101490553132,0.9030899869919435,7,58427,10.976,75.96,3.588,1,2.5,6.97
unless,7,1.9459101490553132,0.9030899869919435,6,97713,11.49,113.69,3.763,0,2.3,6.45
broken,7,1.9459101490553132,0.9030899869919435,6,25599,10.15,71.25,3.561,1,1.9,7.06
digital,7,1.9459101490553132,0.9030899869919435,7,46328,10.744,5.39,2.441,0,2.9,7.207
dance,7,1.9459101490553132,0.9030899869919435,5,26125,10.171,148.04,3.878,3,1.65,8.095
similarly,7,1.9459101490553132,0.9030899869919435,9,9427,9.151,0.65,1.532,0,3.55,6.404
painting,7,1.9459101490553132,0.9030899869919435,8,5514,8.615,29.2,3.173,2,1.8,6.612
computers,7,1.9459101490553132,0.9030899869919435,9,44782,10.71,10.8,2.742,0,2.5,7.246
himself,7,1.9459101490553132,0.9030899869919435,7,56572,10.943,140.55,3.856,0,3.05,7.063
sales,7,1.9459101490553132,0.9030899869919435,5,56201,10.937,12.71,2.812,11,1.25,7.578
universe,7,1.9459101490553132,0.9030899869919435,8,35314,10.472,25.27,3.111,0,2.8,6.725
knowing,7,1.9459101490553132,0.9030899869919435,7,23913,10.082,45.24,3.363,1,1.95,7.159
imagination,7,1.9459101490553132,0.9030899869919435,11,8568,9.056,17.35,2.947,0,3.15,6.248
gradually,7,1.9459101490553132,0.9030899869919435,9,5543,8.62,1.96,2.004,0,3.5,6.679
depends,7,1.9459101490553132,0.9030899869919435,7,29987,10.309,28.57,3.164,1,2.45,7.534
expect,7,1.9459101490553132,0.9030899869919435,6,60322,11.007,103.9,3.724,1,2.05,7.821
involved,7,1.9459101490553132,0.9030899869919435,8,59463,10.993,67.94,3.54,1,2.55,7.101
professional,7,1.9459101490553132,0.9030899869919435,12,48487,10.789,32.27,3.217,1,3.05,7.045
impact,7,1.9459101490553132,0.9030899869919435,6,21077,9.956,9.41,2.682,1,2.25,7.261
original,7,1.9459101490553132,0.9030899869919435,8,126061,11.745,28.24,3.159,0,2.55,8.0
academic,7,1.9459101490553132,0.9030899869919435,8,17622,9.777,4.67,2.378,0,3.3,6.035
keeps,7,1.9459101490553132,0.9030899869919435,5,20279,9.917,52.57,3.429,2,1.85,7.654
occur,7,1.9459101490553132,0.9030899869919435,5,21415,9.972,7.43,2.58,0,2.4,7.753
goods,7,1.9459101490553132,0.9030899869919435,5,12257,9.414,12.31,2.799,5,1.65,7.452
situations,7,1.9459101490553132,0.9030899869919435,10,14824,9.604,7.1,2.56,0,2.8,7.132
net,7,1.9459101490553132,0.9030899869919435,3,117269,11.672,15.55,2.9,14,1.05,9.071
fire,7,1.9459101490553132,0.9030899869919435,4,62707,11.046,215.49,4.041,13,1.1,8.42
vegetables,7,1.9459101490553132,0.9030899869919435,10,4391,8.387,6.63,2.53,0,3.65,6.227
note,7,1.9459101490553132,0.9030899869919435,4,131657,11.788,53.55,3.437,7,1.5,8.529
wide,7,1.9459101490553132,0.9030899869919435,4,63297,11.056,23.8,3.085,13,1.25,8.448
effects,7,1.9459101490553132,0.9030899869919435,7,42473,10.657,12.73,2.813,1,2.45,7.813
immediate,7,1.9459101490553132,0.9030899869919435,9,31523,10.358,11.2,2.757,0,3.45,5.593
transportation,7,1.9459101490553132,0.9030899869919435,14,9780,9.188,5.55,2.453,0,4.2,6.839
university,7,1.9459101490553132,0.9030899869919435,10,238281,12.381,23.59,3.081,0,3.35,6.117
taught,7,1.9459101490553132,0.9030899869919435,6,18606,9.831,43.84,3.35,2,1.85,7.857
emotions,7,1.9459101490553132,0.9030899869919435,8,5682,8.645,10.94,2.747,0,2.4,7.144
event,7,1.9459101490553132,0.9030899869919435,5,42825,10.665,26.37,3.129,0,1.85,8.1
hurry,7,1.9459101490553132,0.9030899869919435,5,5137,8.544,173.65,3.947,3,1.8,7.301
easy,7,1.9459101490553132,0.9030899869919435,4,93775,11.449,265.71,4.132,2,1.9,8.358
wild,7,1.9459101490553132,0.9030899869919435,4,23869,10.08,57.31,3.466,8,1.55,8.491
feet,7,1.9459101490553132,0.9030899869919435,4,40143,10.6,120.73,3.789,8,1.5,8.441
animal,7,1.9459101490553132,0.9030899869919435,6,24745,10.116,45.49,3.366,0,2.45,7.228
female,7,1.9459101490553132,0.9030899869919435,6,43053,10.67,31.61,3.208,0,2.35,7.269
red,7,1.9459101490553132,0.9030899869919435,3,103819,11.55,148.06,3.878,11,1.1,8.685
bigger,7,1.9459101490553132,0.9030899869919435,6,19124,9.859,54.22,3.442,4,1.8,6.649
becoming,7,1.9459101490553132,0.9030899869919435,8,19871,9.897,22.88,3.067,0,2.5,6.675
stars,7,1.9459101490553132,0.9030899869919435,5,22554,10.024,46.14,3.372,9,1.35,7.625
stage,7,1.9459101490553132,0.9030899869919435,5,30645,10.33,45.57,3.366,6,1.45,7.99
highest,7,1.9459101490553132,0.9030899869919435,7,20611,9.934,12.67,2.811,0,2.6,7.541
teachers,7,1.9459101490553132,0.9030899869919435,8,12939,9.468,11.39,2.765,0,2.2,6.202
expression,7,1.9459101490553132,0.9030899869919435,10,17559,9.773,12.76,2.814,0,2.6,7.393
shows,7,1.9459101490553132,0.9030899869919435,5,64056,11.068,41.51,3.326,6,1.65,7.47
customer,7,1.9459101490553132,0.9030899869919435,8,32952,10.403,15.2,2.89,0,2.65,6.646
travel,7,1.9459101490553132,0.9030899869919435,6,45977,10.736,33.37,3.231,1,1.85,6.895
relief,7,1.9459101490553132,0.9030899869919435,6,9054,9.111,14.59,2.872,3,2.05,7.158
helped,7,1.9459101490553132,0.9030899869919435,6,20968,9.951,46.82,3.378,3,1.85,6.645
fall,7,1.9459101490553132,0.9030899869919435,4,46059,10.738,118.51,3.781,12,1.3,8.273
